from,to,flag
5160,1627,1
5160,94081,1
5160,81876,1
5160,6136,1
5160,84844,1
5160,3005,1
5160,55379,1
5160,10189,1
5160,154796,1
5160,204,1
5160,55210,1
5160,5878,1
5160,3178,1
5160,4726,1
5160,9255,1
5160,10005,1
5160,84263,1
5160,10476,1
5160,27044,1
5160,10455,1
5160,5861,1
5160,3189,1
5160,9939,1
5160,56993,1
5160,144983,1
5160,5162,1
5160,6472,1
5160,2010,1
5160,10989,1
5160,10067,1
5160,3608,1
5160,10901,1
5160,57085,1
5160,6119,1
5160,1994,1
5160,7879,1
5160,8970,1
5160,84271,1
5160,8766,1
5160,7384,1
5160,93380,1
5160,8106,1
5160,9987,1
5160,1936,1
5160,51142,1
5160,476,1
5160,2801,1
5160,539,1
5160,10972,1
5160,9967,1
5160,6811,1
5160,10576,1
5160,11224,1
5160,6117,1
5160,8471,1
5160,255626,1
5160,387,1
5160,26528,1
5160,3315,1
5160,10456,1
5160,84324,1
5160,6185,1
5160,22907,1
5160,8971,1
5160,10452,1
5160,4736,1
5160,64928,1
5160,5825,1
5160,1727,1
5160,7385,1
5160,222068,1
5160,51069,1
5160,10131,1
5160,7157,1
5160,51593,1
5160,51009,1
5160,8939,1
5160,2923,1
5160,6184,1
5160,28998,1
5160,2332,1
5160,26986,1
5160,5936,1
5160,83858,1
5160,3550,1
5160,5630,1
5160,124801,1
5160,2804,1
5160,9118,1
5160,5411,1
5160,871,1
5160,55269,1
5160,5725,1
5160,3182,1
5160,51503,1
5160,10146,1
5160,4001,1
5160,23603,1
5160,6838,1
5160,5250,1
5160,9131,1
5160,9555,1
5160,27339,1
5160,7037,1
5160,488,1
5160,23636,1
5160,3301,1
5160,10084,1
5160,26135,1
5160,2017,1
5160,7112,1
5160,38,1
5160,10211,1
5160,7170,1
5160,4646,1
5160,1937,1
5160,3837,1
5160,55147,1
5160,7417,1
5160,79882,1
5160,1650,1
5160,6150,1
5160,23644,1
5160,84950,1
5160,1674,1
5160,81855,1
5160,9688,1
5160,6389,1
5160,160287,1
5160,5034,1
5160,9521,1
5160,81,1
5160,26354,1
5160,1829,1
5160,9589,1
5160,23521,1
5160,6730,1
5160,5917,1
5160,1495,1
5160,5339,1
5160,24148,1
5160,8615,1
5160,103,1
5160,118,1
5160,221092,1
5160,4642,1
5160,51474,1
5160,4686,1
5160,22985,1
5160,7110,1
5160,10694,1
5160,8661,1
5160,50809,1
5160,5905,1
5160,81608,1
5160,4141,1
5160,23788,1
5160,1965,1
5160,8189,1
5160,1981,1
5160,11198,1
5160,57486,1
5160,54439,1
5160,84295,1
5160,55692,1
5160,728642,1
5160,800,1
5160,84687,1
5160,1314,1
5160,10294,1
5160,11184,1
5160,10015,1
5160,6294,1
5160,57122,1
5160,10856,1
5160,6238,1
5160,79869,1
5160,2802,1
5160,487,1
5160,5356,1
5160,51602,1
5160,4430,1
5160,10801,1
5160,3930,1
5160,79709,1
5160,2194,1
5160,3376,1
5160,3069,1
5160,9984,1
5160,4000,1
5160,9219,1
5160,10165,1
5160,7150,1
5160,1374,1
5160,56829,1
5160,57703,1
5160,4741,1
5160,1778,1
5160,4629,1
5160,8467,1
5160,9919,1
5160,10128,1
5160,388697,1
5160,57498,1
5160,1108,1
5160,4926,1
5160,7175,1
5160,1832,1
6389,9554,1
6389,7529,1
6389,5478,1
6389,10627,1
6389,3028,1
6389,8815,1
6389,1152,1
6389,308,1
6389,94081,1
6389,3939,1
6389,6156,1
6389,3189,1
6389,1938,1
6389,476,1
6389,3013,1
6389,10576,1
6389,9775,1
6389,10694,1
6389,6154,1
6389,1937,1
6389,983,1
6389,292,1
6389,51142,1
6389,6185,1
6389,10476,1
6389,653505,1
6389,6136,1
6389,160287,1
6389,3945,1
6389,2923,1
6389,5250,1
6389,10550,1
6389,10654,1
6389,3149,1
6389,10890,1
6389,10970,1
6389,7184,1
6389,11184,1
6389,871,1
6389,5701,1
6389,10972,1
6389,10130,1
6389,23011,1
6389,1933,1
6389,54927,1
6389,10856,1
6389,54732,1
6389,23193,1
6389,7384,1
6389,79073,1
6389,10971,1
6389,7534,1
6389,7019,1
6389,7532,1
6389,6472,1
6389,5223,1
6389,7531,1
6389,10935,1
6389,4172,1
6389,10574,1
6389,7167,1
6389,5518,1
6389,821,1
6389,9694,1
6389,84823,1
6389,1727,1
6389,1965,1
6389,328,1
6389,1994,1
6389,4000,1
6389,54602,1
6389,9114,1
6389,51726,1
6389,3106,1
6389,3105,1
6389,3419,1
6389,3178,1
